tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
316,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,22.62741699796952,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
578,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,195.3825453760415,172.75512837807196,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
808,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,195.3825453760415,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
849,tomato_cut,assemble salad,Counter_32,Counter,32,assemble salad,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,211.38254537604158,16.000000000000085,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1058,tomato,pick up,Counter_33,Counter,33,pick up tomato from counter,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,227.38254537604158,16.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1109,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,259.3825453760416,32.00000000000003,0.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1315,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,259.3825453760416,0.0,1.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1487,tomato_cut,assemble salad,Counter_32,Counter,32,assemble salad,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,275.3825453760417,16.000000000000114,1.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1986,tomato,pick up,Counter_32,Counter,32,pick up tomato from counter,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,275.3825453760417,0.0,2.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2015,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_6cd84432,encouraged_division_of_labor,a5d6dc96fd510a47,291.3825453760418,16.000000000000057,2.0,0.0,0.0,1.0,0.5,"(5, 2)",671e4b927fa293418ae656d8,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
