tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
376,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
424,tomato,put down,Counter_32,Counter,32,put down tomato on counter,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,38.62741699796951,16.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
459,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,54.627416997969505,15.999999999999993,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
505,tomato,put down,Counter_33,Counter,33,put down tomato on counter,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,86.6274169979695,32.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
565,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,118.6274169979695,32.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
789,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,297.8721366037693,179.24471960579982,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1001,tomato,pick up,Counter_33,Counter,33,pick up tomato from counter,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,336.35535968954133,38.48322308577201,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1052,tomato,put down,Counter_33,Counter,33,put down tomato on counter,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,336.35535968954133,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1111,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,374.8385827753139,38.48322308577258,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1201,tomato_cut,assemble salad,Counter_35,Counter,35,assemble salad,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,445.34025047091217,70.50166769559826,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1225,tomato_salad,pick up,Counter_35,Counter,35,pick up tomato_salad from counter,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,445.34025047091217,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1304,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,512.8087482651262,67.46849779421399,1.0,1.0,1.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1380,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e47a5118,encouraged_division_of_labor,d9ad9a3284110b19,567.2857578486834,54.47700958355722,1.0,0.0,1.0,1.0,0.5,"(5, 2)",65ccca52871269168cc029b5,"[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
