tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
285,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f33f78fe,encouraged_division_of_labor,10ac52d3d83fec4f,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_f33f78fe_actions,,[],,,
292,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,156.48597489636376,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,,[],,,
536,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,329.2411032744354,172.75512837807162,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,player_8d412e76,['player_8d412e76'],,,
617,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_f33f78fe,encouraged_division_of_labor,10ac52d3d83fec4f,200.9203511281483,178.2929341301788,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_f33f78fe_actions,player_f33f78fe,['player_f33f78fe'],,,
794,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,513.7965862630099,184.5554829885745,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,,[],,,
918,plate,put down,Counter_32,Counter,32,put down plate on counter,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,552.2798093487819,38.48322308577201,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,player_8d412e76,['player_8d412e76'],,,
1044,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_f33f78fe,encouraged_division_of_labor,10ac52d3d83fec4f,392.99784163011054,192.07749050196225,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_f33f78fe_actions,,[],,,
1069,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,590.7630324345536,38.48322308577167,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,,[],,,
1139,plate,put down,Counter_33,Counter,33,put down plate on counter,player_8d412e76,encouraged_division_of_labor,10ac52d3d83fec4f,636.0178664304914,45.254833995937815,0.0,0.0,0.0,1.0,1.0,"(2, 2)",668e88ea6a476e76e0c1993b,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_8d412e76_actions,player_8d412e76,['player_8d412e76'],,,
1486,plate,put down,Counter_35,Counter,35,put down plate on counter,player_f33f78fe,encouraged_division_of_labor,10ac52d3d83fec4f,469.9836066091748,76.98576497906424,0.0,0.0,0.0,1.0,1.0,"(5, 2)",undefined,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_f33f78fe_actions,player_f33f78fe,['player_f33f78fe'],,,
