tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
254,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,156.48597489636376,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
326,tomato,put down,Counter_34,Counter,34,put down tomato on counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,204.48597489636384,48.000000000000085,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
412,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,252.4859748963639,48.00000000000006,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
662,tomato,put down,Counter_32,Counter,32,put down tomato on counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,410.1191659031644,157.6331910068005,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
670,tomato_cut,pick up,Counter_32,Counter,32,pick up tomato_cut from counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,410.1191659031644,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
704,tomato_cut,put down,Counter_32,Counter,32,put down tomato_cut on counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,410.1191659031644,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1002,tomato_cut,pick up,Counter_32,Counter,32,pick up tomato_cut from counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,455.37399989910415,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1061,tomato_cut,put down,Counter_02,Counter,02,put down tomato_cut on counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,482.2731067996405,26.899106900536367,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1076,tomato_cut,pick up,Counter_02,Counter,02,pick up tomato_cut from counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,482.2731067996405,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1124,tomato_cut,put down,Counter_34,Counter,34,put down tomato_cut on counter,player_3fbf3a32,encouraged_division_of_labor,77d9d6716a47bac6,520.6183418594985,38.345235059858,0.0,0.0,0.0,1.0,1.0,"(2, 2)",64d63b117d0fcfc1cd8d6934,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
