tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
213,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,156.48597489636376,0.0,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
379,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,329.2411032744354,172.75512837807162,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
686,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,579.4962316525111,250.25512837807577,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
851,tomato,put down,Counter_01,Counter,01,put down tomato on counter,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,758.7409512583074,179.24471960579626,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1038,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,957.8512108005604,199.11025954225295,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1185,tomato,put down,Counter_02,Counter,02,put down tomato on counter,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1121.083572477397,163.2323616768366,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1333,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1283.8862794697548,162.8027069923578,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1467,tomato,put down,Counter_03,Counter,03,put down tomato on counter,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1431.1411310629376,147.25485159318282,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1612,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1591.155493854027,160.01436279108952,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1695,plate,put down,Counter_35,Counter,35,put down plate on counter,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1668.1412588330904,76.98576497906333,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1811,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_a516e640,encouraged_division_of_labor,bc9079bf17e22ecb,1776.8307326786967,108.68947384560624,0.0,0.0,0.0,1.0,1.0,"(2, 2)",67de239c06b421f44e118eaf,"[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
