tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
673,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,144.99999999993634,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
716,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,144.99999999993634,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1090,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,144.99999999993634,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1152,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,160.99999999993634,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2199,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,192.99999999993614,31.9999999999998,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2262,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,208.99999999993594,15.999999999999801,1.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2650,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,208.99999999993594,0.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2661,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,208.99999999993594,0.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4030,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,442.79541881041547,233.79541881047953,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4210,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,490.79541881041547,48.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4210,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,490.79541881041547,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4446,plate,put down,Counter_23,Counter,23,put down plate on counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,583.7496068629603,92.9541880525448,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4511,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,599.7496068629594,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4602,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,631.7496068629589,31.999999999999545,1.0,1.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
4830,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,686.2847282058837,54.535121342924754,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5113,plate,put down,Counter_24,Counter,24,put down plate on counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,795.2250244200782,108.94029621419452,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5363,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,904.1746926540515,108.94966823397328,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
5677,plate,put down,Counter_26,Counter,26,put down plate on counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1043.8518857327972,139.67719307874574,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6294,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1184.8015539667433,140.9496682339461,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6507,plate,put down,Counter_22,Counter,22,put down plate on counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1271.3366753096573,86.53512134291395,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6575,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1287.3366753096564,15.99999999999909,1.0,0.0,1.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6686,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1325.8512217049836,38.514546395327216,2.0,1.0,2.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6752,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1341.8512217049847,16.000000000001137,2.0,0.0,2.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
6950,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,test,1419.0184878280036,77.16726612301886,2.0,0.0,2.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
