tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
453,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,121.00000000003416,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
487,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,121.00000000003416,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
586,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,137.00000000003416,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
682,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,169.00000000003396,31.9999999999998,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
808,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,226.0000000000406,57.00000000000662,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
965,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,274.0000000000398,47.999999999999204,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1127,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,290.0000000000391,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1216,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,306.0000000000382,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1306,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,322.0000000000373,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1342,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_8b9f5a81,encouraged_division_of_labor_large,238029f086cbec45,train,322.0000000000373,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d5580165514d80017cd1999,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
