tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
217,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,53.50480724789299,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
333,plate,put down,Counter_22,Counter,22,put down plate on counter,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,140.0601584991319,86.5553512512389,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
434,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,226.6155097503735,86.5553512512416,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
569,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,341.0685258383851,114.4530160880116,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
569,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,341.0685258383851,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
869,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,574.8069217240959,233.73839588571082,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1290,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,574.8069217240959,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1358,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,590.8069217240952,15.999999999999318,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1370,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,590.8069217240952,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1597,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_c8b008ca,encouraged_division_of_labor_large,3a534226ab85fa20,train,801.9767902274658,211.1698685033706,1.0,1.0,1.0,1.0,0.2,"(5, 2)",63d13f416b2c25038c13007f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
