tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
379,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_fbff0119,encouraged_division_of_labor_large,42872857f09af2b8,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4e52a627d2a0000a8ed0c5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_fbff0119_actions,,[],,,
628,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_fbff0119,encouraged_division_of_labor_large,42872857f09af2b8,train,265.7383958857097,249.73839588570968,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4e52a627d2a0000a8ed0c5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_fbff0119_actions,player_fbff0119,['player_fbff0119'],,,
655,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6cb9e238,encouraged_division_of_labor_large,42872857f09af2b8,train,288.25841371592765,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_6cb9e238_actions,,[],,,
951,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_fbff0119,encouraged_division_of_labor_large,42872857f09af2b8,train,562.9445137943994,297.20611790868975,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4e52a627d2a0000a8ed0c5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_fbff0119_actions,,[],,,
1148,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_6cb9e238,encouraged_division_of_labor_large,42872857f09af2b8,train,522.1857706283264,233.92735691239875,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_6cb9e238_actions,player_6cb9e238,['player_6cb9e238'],,,
1352,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_6cb9e238,encouraged_division_of_labor_large,42872857f09af2b8,train,568.1857706283473,46.00000000002092,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_6cb9e238_actions,player_6cb9e238,['player_6cb9e238'],,,False
1451,plate,put down,Counter_22,Counter,22,put down plate on counter,player_fbff0119,encouraged_division_of_labor_large,42872857f09af2b8,train,876.20496410296,313.2604503085606,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4e52a627d2a0000a8ed0c5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_fbff0119_actions,player_fbff0119,['player_fbff0119'],,,
1797,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_fbff0119,encouraged_division_of_labor_large,42872857f09af2b8,train,892.2049641029596,15.999999999999543,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5f4e52a627d2a0000a8ed0c5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_fbff0119_actions,player_fbff0119,['player_fbff0119'],,,False
1799,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_6cb9e238,encouraged_division_of_labor_large,42872857f09af2b8,train,771.0575890930463,202.871818464699,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_6cb9e238_actions,player_fbff0119,['player_6cb9e238'],"['player_6cb9e238', 'player_6cb9e238']",['player_fbff0119'],True
1824,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_6cb9e238,encouraged_division_of_labor_large,42872857f09af2b8,train,771.0575890930463,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_6cb9e238_actions,player_6cb9e238,['player_6cb9e238'],"['player_6cb9e238', 'player_6cb9e238']",['player_fbff0119'],False
