tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
301,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
542,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,265.7383958857097,249.73839588570968,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
938,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,16.000000000000057,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
942,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1067,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1083,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1166,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1184,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1221,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1256,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1330,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,297.73839588570974,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1390,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_fff945a5,encouraged_division_of_labor_large,5c8e557cc97d89cb,train,329.7383958857098,32.00000000000006,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663a8f6036483d6f8cd83487,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
