tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
150,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
202,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
261,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,108.96023266933084,54.47700958355848,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
327,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,169.96249425711247,61.00226158778163,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
417,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,262.96677031482375,93.00427605771128,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
508,plate,put down,Counter_22,Counter,22,put down plate on counter,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,349.5221215660629,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
592,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,436.0774728173042,86.55535125124135,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
788,plate,put down,Counter_23,Counter,23,put down plate on counter,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,528.9071294128115,92.82965659550729,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
817,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,544.907129412811,15.999999999999432,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
860,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_9c6c1a82,encouraged_division_of_labor_large,75932e456f3de448,train,576.9071294128096,31.999999999998636,1.0,1.0,1.0,1.0,0.2,"(5, 2)",5ef57990b4a08f1ddfe23a78,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
