tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
255,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,,[],,,
364,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,player_7e863f45,['player_7e863f45'],,,
413,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,92.96644617154472,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,,[],,,
469,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,player_7e863f45,['player_7e863f45'],,,
494,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_f474082e,encouraged_division_of_labor_large,7cc2af3b42b87091,train,204.62800714726737,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65aafa301d1aa8daf91f5bee,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_f474082e_actions,player_7e863f45,['player_7e863f45'],,,True
572,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,,[],,,
619,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,221.95933724919507,38.48322308577244,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,player_7e863f45,['player_7e863f45'],,,
669,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,260.44256033496765,38.48322308577258,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,,[],,,
764,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,308.44256033496765,48.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,player_7e863f45,['player_7e863f45'],,,
764,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7e863f45,encouraged_division_of_labor_large,7cc2af3b42b87091,train,308.44256033496765,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66076280f9063d11cb7b8a96,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_7e863f45_actions,,[],,,
