tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
184,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,54.47700958355846,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,,[],,,
465,plate,put down,Dispenser_60,Dispenser,60,put down plate on dispenser,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,99.73184357949758,45.25483399593912,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,player_c719e587,['player_c719e587'],,,
465,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,99.73184357949758,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,,[],,,
482,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0609cf6d,encouraged_division_of_labor_large,7dd57ed088b73026,train,233.7954188104791,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",657c7e9c79cbae5d188822a0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0609cf6d_actions,,[],,,
596,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0609cf6d,encouraged_division_of_labor_large,7dd57ed088b73026,train,272.3305401534087,38.535121342929614,0.0,0.0,0.0,0.4,1.0,"(1, 2)",657c7e9c79cbae5d188822a0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0609cf6d_actions,player_0609cf6d,['player_0609cf6d'],,,
734,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0609cf6d,encouraged_division_of_labor_large,7dd57ed088b73026,train,310.86566149634154,38.535121342932825,0.0,0.0,0.0,0.4,1.0,"(1, 2)",657c7e9c79cbae5d188822a0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0609cf6d_actions,,[],,,
774,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,349.3709230565032,249.6390794770056,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,player_c719e587,['player_c719e587'],,,
849,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,349.3709230565032,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,player_0609cf6d,['player_0609cf6d'],,,True
899,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0609cf6d,encouraged_division_of_labor_large,7dd57ed088b73026,train,356.1204954922823,45.25483399594077,0.0,0.0,0.0,0.4,1.0,"(1, 2)",657c7e9c79cbae5d188822a0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0609cf6d_actions,player_0609cf6d,['player_0609cf6d'],,,
909,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c719e587,encouraged_division_of_labor_large,7dd57ed088b73026,train,365.3709230565033,16.000000000000057,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668f18516826b7151ab685b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_c719e587_actions,player_c719e587,"['player_0609cf6d', 'player_c719e587']",,,
1432,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_0609cf6d,encouraged_division_of_labor_large,7dd57ed088b73026,train,544.7485026395361,188.6280071472538,0.0,0.0,0.0,0.4,1.0,"(1, 2)",657c7e9c79cbae5d188822a0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_0609cf6d_actions,player_c719e587,['player_c719e587'],,,True
