tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
312,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
439,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
492,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
531,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
720,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,316.67594274180334,178.45466257431946,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
913,plate,put down,Counter_24,Counter,24,put down plate on counter,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,530.3786587832375,213.70271604143414,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1037,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,639.2548717570841,108.87621297384658,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1148,plate,put down,Counter_22,Counter,22,put down plate on counter,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,725.8102230083202,86.55535125123617,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1275,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,812.3655742595587,86.55535125123845,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1377,plate,put down,Counter_24,Counter,24,put down plate on counter,player_32456237,encouraged_division_of_labor_large,8f57eac1561c6bdc,train,921.2146452095532,108.84907094999448,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
