tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
132,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
380,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,249.73839588570962,233.73839588570962,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
873,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,625.9491248927094,376.21072900699977,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1097,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,875.6875207784173,249.73839588570786,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1467,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1125.144767494952,249.45724671653477,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1537,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1186.3118634890773,61.16709599412525,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1618,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1247.422493014559,61.11062952548173,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1708,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1324.5895587262112,77.16706571165219,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1861,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1449.4177919240497,124.82823319783847,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1981,plate,assemble salad,Counter_24,Counter,24,assemble salad,player_e127dd94,encouraged_division_of_labor_large,b2dd9a2f370a07de,train,1558.2668628740464,108.84907094999676,0.0,0.0,0.0,1.0,0.2,"(5, 2)",668103f42ae80cacff1527dd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
