tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
159,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
466,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,297.639079477005,281.639079477005,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
734,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,594.8451973856945,297.2061179086895,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
853,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,681.4005486369308,86.55535125123629,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1066,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,769.8837717227115,88.48322308578065,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1170,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,817.8837717227098,47.999999999998295,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1170,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,817.8837717227098,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1288,plate,put down,Counter_22,Counter,22,put down plate on counter,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,904.439122973946,86.55535125123629,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1378,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,942.9223460597176,38.483223085771556,0.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1640,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1192.6607419454215,249.73839588570388,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1985,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1208.6607419454217,16.000000000000227,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2127,plate,put down,Counter_22,Counter,22,put down plate on counter,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1240.660741945422,32.00000000000023,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2226,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1272.6607419454222,32.00000000000023,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2440,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1320.6607419454217,47.999999999999545,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2485,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1320.6607419454217,0.0,1.0,0.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2672,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1531.8306104487885,211.16986850336684,2.0,1.0,1.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2740,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1547.8306104487885,16.0,2.0,0.0,1.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
2879,tomato,put down,CuttingBoard_01,CuttingBoard,01,put down tomato on cuttingboard,player_4d978048,encouraged_division_of_labor_large,fd3791d078aca0cf,train,1656.5736097551649,108.7429993063763,0.0,-1.0,0.0,1.0,0.2,"(5, 2)",67651cf28a1f52146cdd453f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
