tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
663,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,208.21626017657906,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
692,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,208.21626017657906,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
959,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,303.21626017655956,94.9999999999805,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1096,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,335.2162601765582,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1241,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,351.21626017655774,15.999999999999545,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1300,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,367.21626017655683,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1422,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,367.21626017655683,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1459,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,367.21626017655683,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1739,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,464.2162601764918,96.99999999993497,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1874,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,512.2162601764904,47.999999999998636,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1884,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,512.2162601764904,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2047,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_a4cb3045,encouraged_division_of_labor_large,078d198ab17083ba,train,512.2162601764904,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
