tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
175,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,,[],,,
287,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,player_cf2442fa,['player_cf2442fa'],,,
368,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,92.96644617154472,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,,[],,,
448,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,player_cf2442fa,['player_cf2442fa'],,,
523,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,,[],,,
584,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,244.64321015754868,61.16709599412604,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,player_cf2442fa,['player_cf2442fa'],,,
653,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_eabacda7,encouraged_division_of_labor_large,33fa9cf9ab213515,train,270.70620181887284,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67113db3e16850ee91a530f1,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_eabacda7_actions,player_cf2442fa,['player_cf2442fa'],,,True
742,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_eabacda7,encouraged_division_of_labor_large,33fa9cf9ab213515,train,302.7062018188715,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67113db3e16850ee91a530f1,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_eabacda7_actions,player_eabacda7,"['player_cf2442fa', 'player_eabacda7']",,,
834,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_eabacda7,encouraged_division_of_labor_large,33fa9cf9ab213515,train,302.7062018188715,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67113db3e16850ee91a530f1,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_eabacda7_actions,player_eabacda7,"['player_cf2442fa', 'player_eabacda7']",,,False
898,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cf2442fa,encouraged_division_of_labor_large,33fa9cf9ab213515,train,495.4597729571867,250.81656279963804,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6610ca6d1c7fe8e3861d0de2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_cf2442fa_actions,,[],,,
918,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_eabacda7,encouraged_division_of_labor_large,33fa9cf9ab213515,train,334.7062018188701,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67113db3e16850ee91a530f1,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_eabacda7_actions,player_eabacda7,"['player_cf2442fa', 'player_eabacda7', 'player_eabacda7']",,,
