tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
127,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
433,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,86.47700958355848,70.47700958355848,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
504,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,141.39212320388796,54.91511362032948,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
725,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,180.3690414375501,38.97691823366213,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
830,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,266.92439268879167,86.55535125124158,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
939,plate,put down,Counter_22,Counter,22,put down plate on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,353.4797439400308,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1095,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,413.40519637477075,59.92545243473995,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1185,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,474.407457962553,61.00226158778224,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1634,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,800.830142320549,326.42268435799605,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1748,plate,put down,Counter_23,Counter,23,put down plate on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,893.8341957256353,93.00405340508621,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1822,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,909.8341957256346,15.999999999999318,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1827,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,909.8341957256346,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2127,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,1069.834195725628,159.9999999999934,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2198,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_d663fef3,encouraged_division_of_labor_large,38a911279b091f72,train,1117.8341957256257,47.999999999997726,1.0,1.0,1.0,1.0,0.2,"(5, 2)",5e80e1f14b3b60034e1fd0f0,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
