tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
179,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,22.627416997969515,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
414,tomato,put down,Counter_27,Counter,27,put down tomato on counter,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,170.1603624334356,147.5329454354661,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
582,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,346.66112256511985,176.50076013168425,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
694,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,439.82818827121105,93.1670657060912,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
803,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,532.9572635367919,93.12907526558081,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
895,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,610.124329248444,77.16706571165219,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1036,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,734.5763993210037,124.45207007255965,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1139,plate,put down,Counter_22,Counter,22,put down plate on counter,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,821.13175057224,86.55535125123629,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1233,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,907.6871018234784,86.55535125123845,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1337,plate,put down,Counter_23,Counter,23,put down plate on counter,player_613c2208,encouraged_division_of_labor_large,8a565e88d1194811,train,1000.5167584189865,92.82965659550803,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6418bbe97ce6b1644060b8c6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
