tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
203,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,,[],,,
277,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,61.25483399593901,45.25483399593901,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,player_df00c83c,['player_df00c83c'],,,
349,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,106.50966799187825,45.25483399593924,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,,[],,,
406,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,144.99289107765065,38.48322308577241,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,player_df00c83c,['player_df00c83c'],,,
506,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_804025d1,encouraged_division_of_labor_large,a3b66d5fea89e898,train,201.70877617308696,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d79375d794d900017671c07,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_804025d1_actions,player_df00c83c,['player_df00c83c'],,,True
541,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_804025d1,encouraged_division_of_labor_large,a3b66d5fea89e898,train,217.70877617308696,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d79375d794d900017671c07,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_804025d1_actions,player_804025d1,"['player_df00c83c', 'player_804025d1']",,,
750,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,446.1014322474247,301.10854116977407,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,,[],,,
812,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_804025d1,encouraged_division_of_labor_large,a3b66d5fea89e898,train,299.70877617309895,82.000000000012,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d79375d794d900017671c07,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_804025d1_actions,player_df00c83c,['player_df00c83c'],,,True
897,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_804025d1,encouraged_division_of_labor_large,a3b66d5fea89e898,train,331.70877617309736,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d79375d794d900017671c07,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_804025d1_actions,player_804025d1,"['player_df00c83c', 'player_804025d1']",,,
913,plate,put down,Counter_25,Counter,25,put down plate on counter,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,635.5788891096325,189.47745686220784,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,player_df00c83c,['player_df00c83c'],,,
963,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_804025d1,encouraged_division_of_labor_large,a3b66d5fea89e898,train,331.70877617309736,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5d79375d794d900017671c07,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_804025d1_actions,player_804025d1,"['player_df00c83c', 'player_804025d1']",,,False
969,plate,pick up,Counter_25,Counter,25,pick up plate from counter,player_df00c83c,encouraged_division_of_labor_large,a3b66d5fea89e898,train,690.5788891096427,55.00000000001012,0.0,0.0,0.0,1.0,0.2,"(5, 2)",666273db3a480b1e6cc07608,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_df00c83c_actions,player_df00c83c,['player_df00c83c'],,,False
