tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
253,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,,[],,,
332,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,player_799b0202,['player_799b0202'],,,
473,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,183.47611416342264,128.99289107765028,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,,[],,,
551,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,237.794232559342,54.318118395919385,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,player_799b0202,['player_799b0202'],,,
570,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7019a70c,encouraged_division_of_labor_large,b73c39782df1329e,train,233.8247116300307,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679d3abaaf2911bc1fbd0e6b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7019a70c_actions,,[],,,
818,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,283.04906655528134,45.25483399593932,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,,[],,,
879,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_7019a70c,encouraged_division_of_labor_large,b73c39782df1329e,train,304.2411473599029,70.41643572987223,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679d3abaaf2911bc1fbd0e6b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7019a70c_actions,player_7019a70c,['player_7019a70c'],,,
906,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_7019a70c,encouraged_division_of_labor_large,b73c39782df1329e,train,304.2411473599029,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679d3abaaf2911bc1fbd0e6b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7019a70c_actions,player_7019a70c,['player_7019a70c'],,,False
987,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,344.3039005512211,61.25483399593975,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,player_799b0202,['player_799b0202'],,,
1126,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_799b0202,encouraged_division_of_labor_large,b73c39782df1329e,train,453.180113525067,108.87621297384584,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66cfbd2cb8eff8c5edc1700f,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_799b0202_actions,,[],,,
