tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
121,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,,[],,,
195,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,64.0,48.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_46185988,['player_46185988'],,,
282,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,77.99999999999727,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_46185988,['player_46185988'],,,True
302,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,77.99999999999727,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_2fac9606,"['player_46185988', 'player_2fac9606']",,,
315,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,150.5553512512416,86.5553512512416,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,,[],,,
404,plate,put down,Counter_23,Counter,23,put down plate on counter,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,243.38500784674852,92.82965659550692,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_46185988,['player_46185988'],,,
418,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,77.99999999999727,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_2fac9606,"['player_46185988', 'player_2fac9606']",,,False
456,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,288.639841842688,45.254833995939464,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,,[],,,
465,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,93.99999999999729,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_46185988,['player_2fac9606'],"['player_46185988', 'player_2fac9606', 'player_2fac9606']",['player_46185988'],True
499,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,327.12306492846056,38.48322308577258,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_46185988,['player_46185988'],,,
528,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,343.12306492846056,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_2fac9606,['player_2fac9606'],"['player_46185988', 'player_2fac9606', 'player_2fac9606']",['player_46185988'],True
549,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,109.99999999999729,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_46185988,['player_46185988'],,,True
577,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,109.99999999999729,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_2fac9606,"['player_46185988', 'player_2fac9606']",,,
586,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,381.63229667476946,38.5092317463089,1.0,1.0,1.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_46185988,"['player_2fac9606', 'player_46185988']","['player_46185988', 'player_2fac9606', 'player_2fac9606']",['player_46185988'],
650,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,436.1093062583281,54.47700958355864,1.0,0.0,1.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,,[],,,
733,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,109.99999999999729,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_2fac9606,"['player_46185988', 'player_2fac9606']",,,False
739,plate,put down,Counter_22,Counter,22,put down plate on counter,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,522.6646575095668,86.55535125123873,1.0,0.0,1.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,player_46185988,['player_46185988'],,,
769,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_2fac9606,encouraged_division_of_labor_large,ba05f00962fe661a,train,109.99999999999729,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",5c27e76978fad500019328cc,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_2fac9606_actions,player_46185988,['player_2fac9606'],"['player_46185988', 'player_2fac9606', 'player_2fac9606']",['player_46185988'],True
783,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_46185988,encouraged_division_of_labor_large,ba05f00962fe661a,train,561.1478805953385,38.48322308577167,1.0,0.0,1.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_46185988_actions,,[],,,
