tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
101,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
181,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
232,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
289,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
346,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
410,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,244.64321015754868,61.16709599412604,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
508,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,353.32844670868815,108.68523655113947,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
620,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,460.92280559059157,107.59435888190342,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
727,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,569.6299312234677,108.70712563287611,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
848,plate,put down,Counter_25,Counter,25,put down plate on counter,player_3dbc2aa1,encouraged_division_of_labor_large,bb6dc331d7cb9055,train,693.3918200609853,123.76188883751763,0.0,0.0,0.0,1.0,0.2,"(5, 2)",63d2f3294efc674f84b302d2,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
