tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
322,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,53.01785145224482,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
384,plate,put down,Dispenser_60,Dispenser,60,put down plate on dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,85.01785145224483,32.00000000000001,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
384,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,85.01785145224483,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
453,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,117.01785145224483,32.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
453,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,117.01785145224483,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
644,plate,put down,Counter_22,Counter,22,put down plate on counter,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,203.3896515894809,86.37180013723608,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
756,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,289.9450028407223,86.55535125124138,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
942,plate,put down,Counter_24,Counter,24,put down plate on counter,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,398.96343256553604,109.01842972481376,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1130,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,507.83964553938193,108.8762129738459,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1242,plate,put down,Counter_23,Counter,23,put down plate on counter,player_8b1c7399,encouraged_division_of_labor_large,cbc640f5520fd82d,train,600.6693021348901,92.8296565955082,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5bdaf872e2c06f00018fb552,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
