tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
214,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
649,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,278.4417501614734,262.4417501614734,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1231,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,585.1308613175572,306.6891111560838,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1361,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,671.6862125687935,86.55535125123629,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1776,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,908.225643236503,236.53943066770944,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2318,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,940.225643236502,31.99999999999909,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2524,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,1004.2256432364996,63.99999999999761,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2583,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,1036.2256432364984,31.99999999999875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2774,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,1052.2256432364984,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2821,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,train,1068.2256432364986,16.000000000000227,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3102,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1148.2256432364986,80.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3181,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1186.7088663222698,38.483223085771215,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3255,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1225.1920894080404,38.48322308577053,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3320,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1270.4469234039782,45.254833995937815,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3515,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1445.4167986982452,174.969875294267,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3636,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1531.9721499494813,86.55535125123606,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3722,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1531.9721499494813,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3783,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1563.97214994948,31.999999999998636,1.0,1.0,1.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3950,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1705.01072428649,141.03857433701,1.0,0.0,1.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4056,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1791.566075537726,86.55535125123606,1.0,0.0,1.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4286,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1855.5660755377232,63.99999999999727,1.0,0.0,1.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4342,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1887.5660755377219,31.999999999998636,2.0,1.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4399,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1903.5660755377219,16.0,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4437,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1942.049298623493,38.483223085771215,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4493,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,1980.5325217092636,38.48322308577053,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4556,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,2025.7873557052014,45.254833995937815,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4684,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,2147.7560249665185,121.96866926131702,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4768,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,2193.010858962464,45.25483399594577,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4831,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,2238.26569295841,45.25483399594577,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4930,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_0d14adf3,encouraged_division_of_labor_large,cc5101b08be317dd,test,2286.265692958417,48.00000000000682,2.0,0.0,2.0,1.0,0.2,"(5, 2)",66e4d86dc6b20335f135a8e5,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
