tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
158,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
414,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,294.4991256893201,278.4991256893201,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
414,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,294.4991256893201,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
572,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,442.5543835159887,148.0552578266686,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
572,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,442.5543835159887,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
825,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,676.2927794016991,233.73839588571042,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1413,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,835.8927794017281,159.600000000029,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1451,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,835.8927794017281,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2079,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1166.0609624203341,330.168183018606,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2234,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1251.6414317842207,85.58046936388655,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2276,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1251.6414317842207,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2339,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1283.6414317842193,31.999999999998636,1.0,1.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2382,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1299.6414317842193,16.0,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
2571,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,train,1516.845975441398,217.20454365717865,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3136,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1596.845975441398,80.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3258,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,102.81893290666744,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3296,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3300,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3306,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3322,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3328,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3337,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3376,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3380,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1699.6649083480654,0.0,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3462,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,1775.5225099527722,75.85760160470682,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
3903,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,2061.7037646669673,286.1812547141951,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4047,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,2179.20376466699,117.50000000002274,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
4107,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_5081b843,encouraged_division_of_labor_large,e2e6a6cf7c54c09d,test,2243.2037646669974,64.00000000000728,0.0,0.0,1.0,1.0,0.2,"(5, 2)",6719a9dcc56b8d6b9d2cdb22,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
