tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
467,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,188.24206570249703,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
516,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,204.24206570249683,15.999999999999801,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
666,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,270.24206570250146,66.00000000000463,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
752,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,302.2420657024999,31.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
905,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,350.2420657024978,47.999999999997954,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
983,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,382.24206570249646,31.999999999998636,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1084,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,382.24206570249646,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1112,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,382.24206570249646,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1236,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,398.2420657024958,15.999999999999318,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1405,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,454.2420657024942,55.99999999999841,0.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1486,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,486.24206570249373,31.999999999999545,1.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
1602,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_e1ac642e,encouraged_division_of_labor_large,fcdbc6a0b3fcdd31,train,534.2420657024924,47.999999999998636,2.0,0.0,0.0,0.4,1.0,"(1, 2)",663554ada85eb670f3c6262c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
