tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
181,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
334,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,161.672079253019,145.672079253019,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
389,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,200.1553023387915,38.483223085772494,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
435,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,245.41013633473025,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
544,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,338.41441239244216,93.0042760577119,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
645,plate,put down,Counter_23,Counter,23,put down plate on counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,431.2440689879495,92.82965659550734,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
739,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,524.2483450456618,93.00427605771233,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
846,plate,put down,Counter_24,Counter,24,put down plate on counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,633.0974159956563,108.84907094999448,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
895,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,665.097415995655,31.999999999998636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
941,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,697.0974159956536,31.999999999998636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
971,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_9e2fd3f4,encouraged_division_of_labor_large,1eb389306fa0d15f,train,713.0974159956529,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",62867b51e71606f873d41b05,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
