tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
143,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,,[],,,
192,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,player_12b186f2,['player_12b186f2'],,,
237,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,92.96644617154472,38.48322308577237,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,,[],,,
249,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_12b186f2,['player_12b186f2'],,,True
276,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_68d24abb,"['player_12b186f2', 'player_68d24abb']",,,
286,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,player_12b186f2,['player_12b186f2'],,,
344,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,16.0,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_12b186f2,['player_12b186f2'],,,True
373,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,231.2255562251951,93.00427605771122,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,,[],,,
396,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,48.0,32.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_68d24abb,"['player_12b186f2', 'player_68d24abb']",,,
450,plate,put down,Counter_22,Counter,22,put down plate on counter,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,317.7809074764342,86.5553512512391,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,player_12b186f2,['player_12b186f2'],,,
487,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,48.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_68d24abb,"['player_12b186f2', 'player_68d24abb']",,,False
493,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,356.26413056220684,38.48322308577264,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,,[],,,
520,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_68d24abb,encouraged_division_of_labor_large,20e12dcafb3099ba,train,64.0,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",616adf147a57c76a0b473cf9,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_68d24abb_actions,player_12b186f2,['player_68d24abb'],"['player_12b186f2', 'player_68d24abb', 'player_68d24abb']",['player_12b186f2'],True
542,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_12b186f2,encouraged_division_of_labor_large,20e12dcafb3099ba,train,401.5189645581466,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(5, 2)",57ac9e210493620001d3a277,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_12b186f2_actions,player_12b186f2,['player_12b186f2'],,,
