tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
299,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,233.71072900696797,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
532,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,467.44912489267824,233.73839588571028,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
591,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,467.44912489267824,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
742,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,515.4491248926782,48.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
863,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,531.4491248926777,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
912,plate,put down,Counter_22,Counter,22,put down plate on counter,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,531.4491248926777,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
978,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,531.4491248926777,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1003,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,531.4491248926777,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1053,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,547.449124892677,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1098,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,563.4491248926763,15.999999999999318,1.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1224,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,579.4491248926759,15.999999999999545,1.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1311,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,595.4491248926754,15.999999999999545,1.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1402,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,643.4491248926732,47.99999999999784,1.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1493,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_21a5faf4,encouraged_division_of_labor_large,387723428bfe40a3,train,707.4491248926706,63.999999999997385,1.0,0.0,0.0,1.0,1.0,"(1, 2)",676c9fdb29eb6558c47a3a25,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
