tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
248,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6a26d868,encouraged_division_of_labor_large,7e9be64c2de5341c,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6500c32aeecc75706e1bcaf1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_6a26d868_actions,,[],,,
350,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_efd4753d,encouraged_division_of_labor_large,7e9be64c2de5341c,train,281.4624444872924,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65ccea640d0ee1eb5df528ad,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_efd4753d_actions,,[],,,
457,plate,put down,Counter_22,Counter,22,put down plate on counter,player_efd4753d,encouraged_division_of_labor_large,7e9be64c2de5341c,train,368.0177957385315,86.55535125123913,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65ccea640d0ee1eb5df528ad,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_efd4753d_actions,player_efd4753d,['player_efd4753d'],,,
506,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_6a26d868,encouraged_division_of_labor_large,7e9be64c2de5341c,train,265.7383958857097,249.73839588570968,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6500c32aeecc75706e1bcaf1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_6a26d868_actions,player_6a26d868,['player_6a26d868'],,,
555,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_efd4753d,encouraged_division_of_labor_large,7e9be64c2de5341c,train,454.57314698977285,86.55535125124135,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65ccea640d0ee1eb5df528ad,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_efd4753d_actions,,[],,,
656,plate,put down,Counter_23,Counter,23,put down plate on counter,player_efd4753d,encouraged_division_of_labor_large,7e9be64c2de5341c,train,547.4028035852806,92.82965659550774,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65ccea640d0ee1eb5df528ad,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_efd4753d_actions,player_efd4753d,['player_efd4753d'],,,
699,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_6a26d868,encouraged_division_of_labor_large,7e9be64c2de5341c,train,265.7383958857097,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6500c32aeecc75706e1bcaf1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_6a26d868_actions,player_6a26d868,['player_6a26d868'],,,False
709,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_efd4753d,encouraged_division_of_labor_large,7e9be64c2de5341c,train,592.6576375812184,45.254833995937815,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65ccea640d0ee1eb5df528ad,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_efd4753d_actions,,[],,,
742,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_6a26d868,encouraged_division_of_labor_large,7e9be64c2de5341c,train,281.73839588570974,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6500c32aeecc75706e1bcaf1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_6a26d868_actions,player_efd4753d,['player_6a26d868'],"['player_6a26d868', 'player_6a26d868']",['player_efd4753d'],True
877,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_6a26d868,encouraged_division_of_labor_large,7e9be64c2de5341c,train,281.73839588570974,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6500c32aeecc75706e1bcaf1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_6a26d868_actions,player_6a26d868,['player_6a26d868'],"['player_6a26d868', 'player_6a26d868']",['player_efd4753d'],False
