tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
108,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
191,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,64.0,48.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
191,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,64.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
393,plate,put down,Counter_23,Counter,23,put down plate on counter,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,166.55535125123902,102.55535125123902,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
462,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,211.81018524717777,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
712,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,445.54858113288753,233.73839588570976,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
818,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,445.54858113288753,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
876,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,461.54858113288753,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
912,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,461.54858113288753,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1115,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,672.7184496362605,211.16986850337298,1.0,1.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1233,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,688.7184496362602,15.999999999999659,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1454,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,922.4568455219687,233.73839588570854,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1579,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,922.4568455219687,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1660,tomato_cut,assemble salad,Counter_26,Counter,26,assemble salad,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,986.4568455219658,63.999999999997044,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1752,tomato_cut,pick up,Counter_26,Counter,26,pick up tomato_cut from counter,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,986.4568455219658,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1873,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,1078.7909372807158,92.33409175874999,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1914,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,1078.7909372807158,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2045,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,1165.0965902891173,86.30565300840158,3.0,1.0,2.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2127,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,1187.7240072870861,22.627416997968794,3.0,0.0,2.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2351,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_132cd1fb,encouraged_division_of_labor_large,9ef4c259979df61e,train,1421.46240317279,233.73839588570377,3.0,0.0,2.0,1.0,1.0,"(5, 2)",5f82efa422d3c740b3e41b30,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
