tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
331,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,249.46955346743667,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
565,tomato,put down,Dispenser_80,Dispenser,80,put down tomato on dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,281.46955346743664,31.99999999999997,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
565,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,281.46955346743664,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
649,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,329.46955346743664,48.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
649,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,329.46955346743664,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
936,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,579.207949353147,249.73839588571036,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1046,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,579.207949353147,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1095,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,595.2079493531464,15.999999999999432,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1101,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,595.2079493531464,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1423,tomato_cut,put down,Dispenser_80,Dispenser,80,put down tomato_cut on dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,876.6703938404343,281.4624444872878,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1423,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,876.6703938404343,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1555,plate,put down,Counter_23,Counter,23,put down plate on counter,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,969.5000504359423,92.82965659550803,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1638,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,1014.7548844318801,45.254833995937815,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1874,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,1264.493280317584,249.738395885704,1.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1999,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,1264.493280317584,0.0,2.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
2113,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_0f793151,encouraged_division_of_labor_large,b6005a462067988e,train,1280.4932803175843,16.000000000000227,2.0,0.0,0.0,1.0,1.0,"(1, 2)",6508ad71365dbc80b35c7239,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
