tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
322,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,233.71072900696797,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
399,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,272.1939520927406,38.48322308577261,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
477,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,310.6771751785132,38.483223085772636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
555,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,355.93200917445296,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
628,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,401.1868431703927,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
742,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,478.3539088820469,77.16706571165417,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
802,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,510.3539088820469,32.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
970,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,699.1090372601135,188.75512837806662,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1108,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,747.1090372601114,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1181,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_7367ad03,encouraged_division_of_labor_large,d710ba33bc3b8c88,train,811.1090372601088,63.999999999997385,0.0,0.0,0.0,1.0,1.0,"(1, 2)",614e3f7def73ee04e730819e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
