tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
145,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
219,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
300,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
382,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
465,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
528,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,228.7309481593614,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
752,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,335.15287814942775,106.42192999006636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
899,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,449.94725036638687,114.79437221695912,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1039,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,558.8234633402333,108.8762129738464,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1160,plate,put down,Counter_24,Counter,24,put down plate on counter,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,667.6725342902278,108.84907094999448,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1265,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7ba636a1,encouraged_division_of_labor_large,efd5e5f9762ce4ff,train,776.5487472640742,108.87621297384646,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6612fd1462232a5cbec549e3,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
