tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
128,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
433,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,249.73839588570962,233.73839588570962,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
544,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,249.73839588570962,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
584,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,249.73839588570962,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
854,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,531.2008403730013,281.46244448729163,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
984,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,617.7561916242375,86.55535125123629,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1018,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,617.7561916242375,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1058,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,649.7561916242362,31.999999999998636,1.0,1.0,1.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1121,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,665.7561916242357,15.999999999999545,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1367,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_f989a9b0,encouraged_division_of_labor_large,f033d0e1de989344,train,915.4945875099437,249.73839588570797,1.0,0.0,1.0,1.0,1.0,"(5, 2)",67269af9e2c4bc4674b0ac01,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
