tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
141,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
371,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,265.7383958857097,249.73839588570968,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
646,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,562.9445137943994,297.20611790868975,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
764,plate,put down,Counter_22,Counter,22,put down plate on counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,649.4998650456357,86.55535125123629,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1036,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,886.0392957133454,236.53943066770967,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1063,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,886.0392957133454,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1095,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,886.0392957133454,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1104,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,886.0392957133454,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1409,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,1167.5017402006308,281.46244448728544,1.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1499,plate,put down,Counter_22,Counter,22,put down plate on counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,1254.0570914518669,86.55535125123606,1.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1579,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,1340.6124427031057,86.55535125123879,1.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1666,plate,put down,Counter_23,Counter,23,put down plate on counter,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,1433.4420992986109,92.82965659550518,1.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
1755,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_611faa82,encouraged_division_of_labor_large,f520deeb5d0a8155,train,1526.4463753563218,93.00427605771097,1.0,0.0,0.0,1.0,1.0,"(5, 2)",614f7550e1d2a29137820173,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map"
