tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
523,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,244.30605191787873,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
715,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,305.4731479120057,61.16709599412695,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
930,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,477.9591228083731,172.4859748963674,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
965,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,493.95912280837314,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1068,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,525.9591228083727,31.999999999999602,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1122,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,557.9591228083715,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1268,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,621.9591228083686,63.99999999999716,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1346,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,669.9591228083665,47.99999999999784,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1555,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,669.9591228083665,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1616,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,717.9591228083644,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1652,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,717.9591228083644,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1833,tomato_salad,put down,Counter_26,Counter,26,put down tomato_salad on counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,810.2722094183132,92.31308660994875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2026,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,966.6063011735656,156.33409175525242,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2104,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1030.6063011735628,63.99999999999716,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2140,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1046.606301173562,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2244,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1094.6063011735607,47.999999999998636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2305,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1126.6063011735603,31.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2347,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1142.6063011735596,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2394,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1158.6063011735596,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2515,tomato_cut,assemble salad,Counter_27,Counter,27,assemble salad,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1254.6063011735562,95.99999999999659,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2622,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1334.6063011735525,79.99999999999636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2678,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1350.6063011735525,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2844,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1350.6063011735525,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_8ba8dc2d,encouraged_division_of_labor_large,05dd0db17f9b2d65,train,1350.6063011735525,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",691dbfe2f46dce1f59e048de,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
