tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
360,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,249.5665419656894,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
612,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,514.9922412429048,265.4256992772154,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1642,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,754.9922412428948,239.99999999999,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1698,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,802.9922412428928,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1897,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,834.9922412428916,31.999999999998863,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1934,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,850.9922412428909,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2223,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,1084.7298134687553,233.73757222586437,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato,put down,CuttingBoard_10,CuttingBoard,10,put down tomato on cuttingboard,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,train,1107.357230466724,22.627416997968794,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3322,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,test,1436.9834192665455,329.6261887998214,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3561,plate,put down,Counter_24,Counter,24,put down plate on counter,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,test,1545.819237025448,108.83581775890252,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3877,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a4ee98d1,encouraged_division_of_labor_large,08735c76695dc7de,test,1718.3052119218087,172.48597489636063,0.0,0.0,0.0,1.0,1.0,"(1, 2)",64e36d981d00e7d7c45addc2,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
