tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
266,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,233.71072900696797,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
492,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,483.44912489267836,249.7383958857104,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
597,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,483.44912489267836,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
622,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,499.4491248926784,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
957,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,742.3606237385919,242.9114988459135,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1619,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,871.3535148162393,128.9928910776474,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1619,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,871.3535148162393,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1666,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,903.353514816238,31.999999999998636,1.0,1.0,1.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1814,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,935.3535148162366,31.999999999998636,1.0,0.0,1.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1931,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_f198d879,encouraged_division_of_labor_large,1c5aad010406f0dc,train,979.4535148162447,44.100000000008095,1.0,0.0,1.0,1.0,1.0,"(1, 2)",664d1b368228bb6de28e1808,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
