tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
545,tomato,pick up,Counter_27,Counter,27,pick up tomato from counter,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,80.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
632,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,80.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
728,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
750,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
932,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
953,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1048,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1073,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1327,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,160.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1360,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_81297abc,encouraged_division_of_labor_large,3f4f8fdf1d8f901d,train,176.0,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",664d2361dc97bba3c2b8bbab,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
