tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
197,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,,[],,,
262,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f63704fe,encouraged_division_of_labor_large,444c0427ace249f3,train,233.71073083880236,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b828d453598bcca42608c1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_f63704fe_actions,,[],,,
267,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,player_a8bc7621,['player_a8bc7621'],,,
357,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_f63704fe,encouraged_division_of_labor_large,444c0427ace249f3,train,288.0288492347216,54.318118395919214,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b828d453598bcca42608c1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_f63704fe_actions,player_f63704fe,['player_f63704fe'],,,
358,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,93.11064008374196,38.62741699796961,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,,[],,,
491,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,154.24728882802012,61.13664874427815,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,player_a8bc7621,['player_a8bc7621'],,,
499,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_f63704fe,encouraged_division_of_labor_large,444c0427ace249f3,train,390.34693339388514,102.31808415916356,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b828d453598bcca42608c1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_f63704fe_actions,,[],,,
670,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,326.73319159641375,172.48590276839363,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,player_a8bc7621,['player_a8bc7621'],,,False
671,plate,put down,Counter_25,Counter,25,put down plate on counter,player_f63704fe,encouraged_division_of_labor_large,444c0427ace249f3,train,515.3512094516007,125.00427605771551,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b828d453598bcca42608c1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_f63704fe_actions,player_f63704fe,['player_f63704fe'],,,
691,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_a8bc7621,encouraged_division_of_labor_large,444c0427ace249f3,train,326.73319159641375,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6687621d74531e4a19757890,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8bc7621_actions,player_a8bc7621,"['player_a8bc7621', 'player_a8bc7621']",,,
