tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
178,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
293,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,54.48322308577238,38.48322308577238,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
405,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,92.96644617154476,38.48322308577238,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
471,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,138.2212801674839,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
546,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,183.47611416342266,45.25483399593875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
710,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,253.88040180425656,70.4042876408339,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
725,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,253.88040180425656,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
815,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,253.88040180425656,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
828,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,253.88040180425656,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
874,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,253.88040180425656,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1018,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,314.9910313297382,61.11062952548161,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1172,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,417.5645728511869,102.5735415214487,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1691,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,582.4944183441073,164.92984549292044,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1695,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,582.4944183441073,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1732,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,582.4944183441073,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1795,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,598.4944183441069,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1882,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,630.4944183441057,31.999999999998863,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1934,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,662.4944183441046,31.999999999998863,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2025,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,710.4944183441028,47.99999999999818,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2082,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,742.4944183441014,31.999999999998636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2196,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,742.4944183441014,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2228,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,742.4944183441014,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2346,tomato,pick up,Counter_25,Counter,25,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,790.4944183440992,47.99999999999784,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2414,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,838.4944183440972,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2509,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,886.4944183440957,47.99999999999852,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2558,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,918.4944183440945,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2558,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,918.4944183440945,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2737,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,950.4944183440932,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2873,tomato,pick up,Counter_26,Counter,26,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,998.4944183440911,47.99999999999784,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,train,998.4944183440911,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3145,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1105.004086335969,106.50966799187802,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3560,tomato,put down,Counter_27,Counter,27,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1245.8462850258393,140.8421986898702,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3718,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1355.0290472378708,109.18276221203155,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3835,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1425.3471314010094,70.31808416313856,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4027,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1581.6431716075633,156.29604020655393,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
4110,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_55307eab,encouraged_division_of_labor_large,455832f92e0389ac,test,1629.643171607562,47.999999999998636,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6740de2c87e1a486431b2678,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
