tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
339,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,281.078514164846,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
477,plate,put down,Counter_25,Counter,25,put down plate on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,427.8906330019717,146.8121188371257,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
716,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,520.6927790813104,92.80214607933868,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
897,tomato,put down,Counter_26,Counter,26,put down tomato on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,629.6950406690902,109.0022615877798,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
927,tomato,pick up,Counter_26,Counter,26,pick up tomato from counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,629.6950406690902,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1085,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,770.0291324243435,140.33409175525333,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1174,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,770.0291324243435,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1254,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,818.0291324243414,47.99999999999784,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1282,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,818.0291324243414,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1486,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,996.6442624424965,178.61513001815513,1.0,1.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1569,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1051.121272026052,54.47700958355563,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1668,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1143.9509286215573,92.82965659550518,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1834,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1236.9371699514215,92.98624132986424,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1973,plate,put down,Counter_25,Counter,25,put down plate on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1360.6989078084766,123.7617378570551,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2022,tomato_cut,pick up,Counter_24,Counter,24,pick up tomato_cut from counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1376.698907808476,15.999999999999318,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2061,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1392.6989078084753,15.999999999999318,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2163,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1481.522905039808,88.82399723133267,1.0,0.0,1.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2224,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1520.0321367861166,38.509231746308615,2.0,1.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2322,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1574.5091463696722,54.47700958355563,2.0,0.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2570,plate,put down,Counter_25,Counter,25,put down plate on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1699.5949254836744,125.08577911400221,3.0,0.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2691,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1824.4231586815129,124.82823319783847,3.0,0.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2776,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1910.978509932749,86.55535125123606,3.0,0.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2858,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1958.9785099327476,47.999999999998636,3.0,0.0,2.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2879,tomato,put down,Dispenser_50,Dispenser,50,put down tomato on dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,train,1958.9785099327476,0.0,0.0,-2.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3266,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2258.6857723899475,299.70726245719993,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3423,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2303.9406063858933,45.25483399594577,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3485,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2349.195440381839,45.25483399594577,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3561,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2410.3625363759706,61.167095994131614,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3622,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2471.473165901453,61.11062952548218,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3705,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_f333ead9,encouraged_division_of_labor_large,49a013888502a9c0,test,2548.6402316131143,77.16706571166151,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5ac4c730f69e940001d977e1,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
