tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
433,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,249.5164154183867,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
539,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,303.9934250019452,54.47700958355847,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
608,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,342.4766480877178,38.483223085772636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
670,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,387.73148208365757,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
903,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,592.3979098626581,204.66642777900057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1034,plate,put down,Counter_24,Counter,24,put down plate on counter,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,701.2469808126526,108.84907094999448,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1341,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,889.7329557090188,188.4859748963662,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1738,tomato_cut,put down,Counter_25,Counter,25,put down tomato_cut on counter,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,953.7329557090161,63.99999999999727,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1858,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,953.7329557090161,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2056,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_46c5916f,encouraged_division_of_labor_large,5e1a1ca411f591c1,train,1154.5826056067658,200.8496498977497,1.0,1.0,1.0,1.0,1.0,"(1, 2)",63643728a38eaad0e7a70ee4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
