tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
322,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,233.71072900696797,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
384,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,272.1939520927406,38.48322308577261,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
464,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,310.6771751785132,38.483223085772636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
621,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,371.8138239227922,61.136648744279,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
736,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,381.8138239227945,10.000000000002274,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
915,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,554.2997988191618,172.48597489636728,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
948,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,570.2997988191612,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1035,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,602.29979881916,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1184,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,618.2997988191594,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1217,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,634.2997988191589,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1671,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,931.689772782167,297.38997396300806,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1819,plate,put down,Counter_25,Counter,25,put down plate on counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1066.1522307199302,134.46245793776325,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2092,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1190.9804639177687,124.82823319783847,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2217,plate,assemble salad,Counter_24,Counter,24,assemble salad,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1299.8295348677655,108.84907094999676,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2478,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1363.8295348677627,63.99999999999727,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2512,tomato_salad,put down,Counter_25,Counter,25,put down tomato_salad on counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1379.829534867762,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2512,plate,pick up,Counter_25,Counter,25,pick up plate from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1379.829534867762,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2550,plate,put down,Counter_25,Counter,25,put down plate on counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1379.829534867762,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2550,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1379.829534867762,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2753,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,train,1450.2276221778134,70.39808731005132,1.0,1.0,1.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3831,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,test,1530.2276221778127,79.99999999999932,0.0,0.0,1.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3874,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,test,1546.227622177812,15.999999999999318,0.0,0.0,1.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3972,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_cec63023,encouraged_division_of_labor_large,6754c23efc694403,test,1546.227622177812,0.0,0.0,0.0,1.0,1.0,1.0,"(1, 2)",607de1d7c7cc25b639f63026,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
