tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
566,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,281.5973121909649,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1309,plate,put down,Counter_22,Counter,22,put down plate on counter,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,368.1701978698145,86.57288567884962,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1491,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,454.67939584831674,86.50919797850224,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1724,plate,put down,Counter_24,Counter,24,put down plate on counter,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,563.5284667983113,108.8490709499946,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1793,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,624.6390963237928,61.1106295254815,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1891,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,701.806162035445,77.16706571165219,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1950,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,749.806162035443,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1997,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,781.8061620354417,31.99999999999875,1.0,1.0,1.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2032,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,797.8061620354413,15.999999999999545,1.0,0.0,1.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2086,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_6b2c64fd,encouraged_division_of_labor_large,6c6bd2a98720855a,train,836.289385121213,38.48322308577167,1.0,0.0,1.0,1.0,1.0,"(1, 2)",63316daa57747115376760da,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
