tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
446,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,265.59231781949705,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
506,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,310.8471518154368,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
627,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,403.85142787314896,93.00427605771216,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
727,plate,put down,Counter_22,Counter,22,put down plate on counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,490.4067791243881,86.55535125123913,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
789,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,528.8900022101602,38.483223085772124,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
853,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,590.0570982042855,61.16709599412525,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
955,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,698.9333111781319,108.87621297384646,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1064,plate,put down,Counter_25,Counter,25,put down plate on counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,823.7823613574728,124.8490501793409,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1273,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,980.0954238317338,156.31306247426096,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1321,plate,put down,CuttingBoard_10,CuttingBoard,10,put down plate on cuttingboard,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,996.0954238317333,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1321,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,996.0954238317333,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1347,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_bee5b9be,encouraged_division_of_labor_large,6cf91c119b4202bb,train,1012.0954238317329,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66d87ca552cba0f49ef07729,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
