tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
139,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,,[],,,
354,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,201.8189329066664,185.8189329066664,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,player_9be2c79d,['player_9be2c79d'],,,
389,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_a8f8cc6f,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8f8cc6f_actions,player_9be2c79d,['player_9be2c79d'],,,True
421,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,240.3021559924389,38.483223085772494,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,,[],,,
440,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_a8f8cc6f,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,45.00000000001023,45.00000000001023,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8f8cc6f_actions,player_a8f8cc6f,"['player_9be2c79d', 'player_a8f8cc6f']",,,
481,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,278.7853790782115,38.48322308577261,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,player_9be2c79d,['player_9be2c79d'],,,
543,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,317.26860216398416,38.48322308577264,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,,[],,,
601,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_9be2c79d,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,362.5234361599239,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(5, 2)",568899d9d7848e0005399c6b,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_9be2c79d_actions,player_9be2c79d,['player_9be2c79d'],,,
626,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_a8f8cc6f,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,45.00000000001023,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8f8cc6f_actions,player_a8f8cc6f,"['player_9be2c79d', 'player_a8f8cc6f']",,,False
709,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_a8f8cc6f,encouraged_division_of_labor_large,73c0c2763ebdd85b,train,77.00000000001023,32.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_a8f8cc6f_actions,player_a8f8cc6f,"['player_9be2c79d', 'player_a8f8cc6f', 'player_a8f8cc6f']",,,
