tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
703,tomato,pick up,Counter_26,Counter,26,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,223.50000000002913,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
823,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,303.50000000002916,80.00000000000003,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
981,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,319.5000000000293,16.000000000000114,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1030,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,335.50000000002933,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1117,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,367.5000000000294,32.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1165,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,383.5000000000294,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1281,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,399.50000000002944,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1360,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,447.5000000000295,48.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1536,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,479.5000000000295,32.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1577,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,495.5000000000295,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1790,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,527.500000000029,31.99999999999949,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1847,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,543.5000000000284,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2118,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,559.5000000000277,15.999999999999318,1.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2183,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,591.5000000000265,31.99999999999875,2.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2363,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,607.5000000000259,15.999999999999432,2.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2402,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,623.5000000000255,15.999999999999545,2.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2695,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,01,pick up tomato_cut from cuttingboard,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,623.5000000000255,0.0,2.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2750,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,train,639.500000000025,15.999999999999545,2.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3529,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,test,639.500000000025,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3571,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_c36a2e6a,encouraged_division_of_labor_large,7bd70214ce8bf182,test,655.5000000000246,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(1, 2)",655a655f62fde845d4789149,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
