tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
175,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,,[],,,
269,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,249.5164154183867,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,,[],,,
375,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,303.2056577028648,53.6892422844781,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,['player_57ec6045'],,,
435,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,341.68888078863745,38.48322308577264,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,,[],,,
441,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,249.7383958857096,233.7383958857096,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,['player_c63615ad'],,,
498,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,386.9437147845772,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,['player_57ec6045'],,,
767,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,496.9437147846022,110.000000000025,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,['player_57ec6045'],,,False
849,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,496.9437147846022,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045']",,,
1188,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,579.5366573312756,329.79826144556597,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,,[],,,
1215,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,707.8764649462527,210.9327501616505,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,['player_57ec6045'],,,False
1227,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,707.8764649462527,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045']",,,
1308,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,739.8764649462519,31.999999999999204,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045']",,,False
1341,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,755.8764649462514,15.999999999999543,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045', 'player_57ec6045']",,,
1570,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,839.4764649462554,83.600000000004,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045']",,,False
1623,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,994.9668966527494,415.4302393214738,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,['player_c63615ad'],,,
1635,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,871.4764649462542,31.99999999999875,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045', 'player_57ec6045']",,,
1683,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,887.4764649462536,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_c63615ad,['player_c63615ad'],,,True
1684,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1033.4501197385212,38.48322308577178,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,,[],,,
1721,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,903.4764649462528,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_c63615ad', 'player_57ec6045']",,,
1744,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1078.704953734459,45.254833995937815,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,['player_c63615ad'],,,
1744,tomato_cut,pick up,Counter_23,Counter,23,pick up tomato_cut from counter,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1078.704953734459,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,['player_c63615ad'],,,False
1779,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1094.7049537344585,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,"['player_c63615ad', 'player_c63615ad']",,,
1867,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1155.81558325994,61.11062952548173,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,,[],,,
1979,tomato_cut,pick up,CuttingBoard_01,CuttingBoard,1,pick up tomato_cut from cuttingboard,player_57ec6045,encouraged_division_of_labor_large,c248683ab3612a7a,train,1063.4764649462468,159.99999999999386,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65be4dd4b95531f8c61ac5ca,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_57ec6045_actions,player_57ec6045,"['player_57ec6045', 'player_57ec6045', 'player_57ec6045']",,,False
2012,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_c63615ad,encouraged_division_of_labor_large,c248683ab3612a7a,train,1232.9826489715922,77.16706571165219,0.0,0.0,0.0,1.0,1.0,"(5, 2)",55be9292fdf99b4c861994d8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_c63615ad_actions,player_c63615ad,['player_c63615ad'],,,
