tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
418,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,248.69827000807922,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
488,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,303.1752795916377,54.4770095835585,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
537,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,341.65850267741035,38.483223085772636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
602,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,386.9133366733501,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
732,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,480.04242136691886,93.12908469356876,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
868,plate,put down,Counter_25,Counter,25,put down plate on counter,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,605.0360909009262,124.99366953400732,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
997,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,729.8643240987675,124.82823319784131,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1136,plate,put down,Counter_24,Counter,24,put down plate on counter,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,868.1425747480753,138.27825064930778,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1268,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,977.0187877219217,108.87621297384646,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1419,plate,put down,Counter_26,Counter,26,put down plate on counter,player_2a7511cb,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,1130.6926632228856,153.67387550096385,0.0,0.0,0.0,1.0,1.0,"(1, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
