tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
165,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1051,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,510.5725020383392,494.5725020383392,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1535,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,807.8716402875086,297.2991382491694,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1705,plate,put down,Counter_27,Counter,27,put down plate on counter,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,964.7206904630883,156.8490501755797,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2469,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,1370.70023605268,405.9795455895918,0.0,0.0,0.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
2560,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,train,1425.0183544486015,54.318118395921374,1.0,1.0,1.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3070,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,test,1485.9915087915733,60.97315434297184,0.0,0.0,1.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3315,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,test,1584.310441957352,98.31893316577862,0.0,0.0,1.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3530,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,test,1748.9143791971828,164.60393723983088,0.0,0.0,1.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
3648,plate,put down,Counter_22,Counter,22,put down plate on counter,player_3848f793,encouraged_division_of_labor_large,cd7af2c0e6c12519,test,1835.4697304484189,86.55535125123606,0.0,0.0,1.0,1.0,1.0,"(5, 2)",67dbeabb9f3bd066c8a56685,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
