tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
98,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,,[],,,
182,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,61.25483399593901,45.25483399593901,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,['player_540a2811'],,,
253,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,119.0000000000307,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_540a2811,['player_540a2811'],,,True
307,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,151.00000000003078,32.000000000000085,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_540a2811', 'player_41c6778a']",,,
362,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,154.25911005365066,93.00427605771164,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,,[],,,
411,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,151.00000000003078,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_540a2811', 'player_41c6778a']",,,False
450,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,167.00000000003084,16.000000000000057,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_540a2811', 'player_41c6778a', 'player_41c6778a']",,,
477,plate,put down,Counter_23,Counter,23,put down plate on counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,247.0887666491576,92.82965659550692,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,['player_540a2811'],,,
510,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,183.00000000003084,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_540a2811,['player_540a2811'],,,True
527,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,199.00000000003084,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,['player_41c6778a'],"['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",False
554,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,292.3436006450971,45.25483399593955,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,,[],,,
560,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,199.00000000003084,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,['player_41c6778a'],"['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",False
634,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,337.5984346410369,45.25483399593975,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,['player_540a2811'],,,
658,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,286.5000000000507,87.50000000001987,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",
673,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,286.5000000000507,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",False
704,tomato_salad,put down,Counter_23,Counter,23,put down tomato_salad on counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,302.5000000000507,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",
704,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,302.5000000000507,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",False
772,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,334.50000000005076,32.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",
777,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,430.60271069874904,93.00427605771216,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,,[],,,
920,plate,put down,Counter_22,Counter,22,put down plate on counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,517.158061949988,86.55535125123896,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,['player_540a2811'],,,
932,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,334.50000000005076,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",False
966,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_41c6778a,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,350.5000000000509,16.000000000000114,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5cfc10cc45e1a20018883d12,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_41c6778a_actions,player_540a2811,['player_41c6778a'],"['player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a']",['player_540a2811'],True
978,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,533.1580619499873,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_41c6778a,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",True
1746,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,1089.8492441245592,556.6911821745718,1.0,1.0,1.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,"['player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_41c6778a', 'player_540a2811']","['player_540a2811', 'player_41c6778a', 'player_41c6778a']","['player_540a2811', 'player_41c6778a']",
1884,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,1105.8492441245592,16.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,,[],,,
1972,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_540a2811,encouraged_division_of_labor_large,eb7d8fa823acfe94,train,1151.104078120497,45.254833995937815,1.0,0.0,1.0,1.0,1.0,"(5, 2)",677aa8d8f01b0f81923c3d1c,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_540a2811_actions,player_540a2811,['player_540a2811'],,,
