tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
104,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
179,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,61.25483399593901,45.25483399593901,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
725,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,568.1642319513501,506.90939795541107,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
798,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,613.4190659472879,45.254833995937815,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
973,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,706.4233420050001,93.00427605771222,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1231,plate,put down,Counter_25,Counter,25,put down plate on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,840.932539983502,134.5091979785019,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1245,plate,pick up,Counter_25,Counter,25,pick up plate from counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,840.932539983502,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1305,plate,put down,Counter_24,Counter,24,put down plate on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,856.9325399835013,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1305,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,856.9325399835013,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1334,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,872.9325399835006,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1504,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,950.0369556300099,77.10441564650921,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1599,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,1011.2040516241351,61.16709599412525,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1599,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,1011.2040516241351,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
1785,plate,put down,Counter_23,Counter,23,put down plate on counter,player_0c544ed5,encouraged_division_of_labor_large,f4212c0da7a70f0a,train,1142.5942958963512,131.39024427221614,0.0,0.0,0.0,1.0,1.0,"(5, 2)",660338e4a1acbad65a2955ec,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision"
