tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
580,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,176.43770438820425,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
804,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,254.3101699252796,77.87246553707536,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
972,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,322.19242091919074,67.88225099391113,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1107,plate,put down,Counter_22,Counter,22,put down plate on counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,376.72754226211566,54.535121342924924,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1245,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,431.2626636050439,54.53512134292822,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1406,plate,put down,Counter_23,Counter,23,put down plate on counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,492.3190243050038,61.056360699959896,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1526,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,508.3190243050034,15.999999999999602,0.0,0.0,0.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1642,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,540.3190243050029,31.999999999999545,1.0,1.0,1.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1948,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,585.5738583009387,45.25483399593577,1.0,0.0,1.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2107,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,630.8286922968745,45.25483399593577,2.0,1.0,2.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2253,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,685.362058415943,54.533366119068546,2.0,0.0,2.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2452,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3cd87ddf,encouraged_division_of_labor_v2,08e07a786721d6ce,753.2443094098466,67.88225099390354,2.0,0.0,2.0,0.4,1.0,"(1, 2)",672285407273e65dc89d6f75,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
