tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
712,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,249.250788310644,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1093,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,412.41393925974046,163.16315094909646,0.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1511,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,588.8516436479465,176.43770438820604,0.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1681,plate,put down,Counter_22,Counter,22,put down plate on counter,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,643.3867649908714,54.53512134292487,0.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2095,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,768.0147721415458,124.62800715067442,0.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2193,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,800.0147721415453,31.999999999999545,1.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2228,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,800.0147721415453,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2421,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,883.6932191547462,83.67844701320087,2.0,1.0,1.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2542,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,915.6932191547457,31.999999999999545,2.0,0.0,1.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2795,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_50da8fdf,encouraged_division_of_labor_v2,2b3dc5af5cdb0232,992.7634618406067,77.07024268586099,2.0,0.0,1.0,0.4,1.0,"(1, 2)",673378009f99d14c232c1f2b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
