tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
243,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
463,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,185.5740312336709,162.94661423570136,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
497,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,163.25078831065383,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
677,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,361.80918891008105,176.23515767641018,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
789,plate,put down,Counter_22,Counter,22,put down plate on counter,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,416.2861984936395,54.47700958355847,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
837,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,310.413939263313,147.16315095265918,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,
1279,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,470.8516436515099,160.4377043881969,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
1301,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,556.7721733900056,140.4859748963661,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,False
1348,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,556.7721733900056,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],"['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],False
1390,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,556.7721733900056,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],"['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],False
