tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
489,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,163.25078831065383,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1446,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,342.4139392597489,179.16315094909504,0.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1550,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,342.4139392597489,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1702,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,342.4139392597489,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2055,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,358.41393925974796,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2216,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,406.4139392597466,47.999999999998636,1.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2539,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,534.9880627242228,128.5741234644762,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2684,plate,put down,Counter_22,Counter,22,put down plate on counter,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,589.5231840671477,54.53512134292487,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2819,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,644.0583054100755,54.53512134292782,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2980,plate,put down,Counter_23,Counter,23,put down plate on counter,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,705.114666110034,61.05636069995853,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3124,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,766.1710268099924,61.05636069995842,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3283,plate,put down,Counter_24,Counter,24,put down plate on counter,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,834.053277803896,67.88225099390354,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3438,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,901.9355287977995,67.88225099390354,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3618,plate,put down,Counter_25,Counter,25,put down plate on counter,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,985.6192996182893,83.68377082048983,3.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3813,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_81f1160d,encouraged_division_of_labor_v2,75c9338bdcee88ae,1069.303070438782,83.68377082049267,4.0,0.0,0.0,0.4,1.0,"(1, 2)",616c1cc2510fe9022f6577f8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
