tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
123,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
165,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
207,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,67.88225099390853,22.62741699796951,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
264,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,106.36547407968034,38.48322308577181,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
413,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,133.90301018347546,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,True
422,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,248.10793257997952,141.74245850029916,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
448,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,133.90301018347546,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,
524,plate,put down,Counter_22,Counter,22,put down plate on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,302.58494216353796,54.47700958355844,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
543,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,149.90301018347546,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,True
581,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,149.90301018347546,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,
592,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,357.06195174709666,54.4770095835587,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
668,plate,put down,Counter_23,Counter,23,put down plate on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,418.0642133348789,61.00226158778224,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
715,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,165.90301018347546,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,False
750,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,165.90301018347546,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
753,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,456.54743642065137,38.483223085772465,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
821,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,511.0244460042091,54.47700958355773,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
869,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,543.0244460042079,31.999999999998806,0.0,0.0,0.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_6e05aa43,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
895,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,181.90301018347543,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,False
932,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,181.90301018347543,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
934,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,581.5076690899799,38.48322308577201,1.0,1.0,1.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,"['player_6e05aa43', 'player_0b0ec9a4']","['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],
