tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
142,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,16.0,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
325,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,185.14806717506937,169.14806717506937,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
942,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,361.2014191956454,176.05335202057606,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1150,plate,put down,CuttingBoard_02,CuttingBoard,02,put down plate on cuttingboard,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,537.5240901107367,176.32267091509124,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1150,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,537.5240901107367,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1230,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,553.5240901107361,15.999999999999432,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1324,tomato_cut,pick up,Counter_23,Counter,23,pick up tomato_cut from counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,553.5240901107361,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1831,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,736.5114805498617,182.98739043912565,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1831,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,736.5114805498617,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2411,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,884.249537631569,147.7380570817072,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2411,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,884.249537631569,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2508,plate,put down,Dispenser_40,Dispenser,40,put down plate on dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,922.7327607173406,38.48322308577167,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2508,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,922.7327607173406,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3178,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1021.7202267977084,98.98746608036777,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3272,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1021.7202267977084,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3622,tomato,put down,Dispenser_60,Dispenser,60,put down tomato on dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1092.2034498834787,70.4832230857703,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3622,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1092.2034498834787,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3731,plate,put down,Dispenser_40,Dispenser,40,put down plate on dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1124.2034498834773,31.999999999998636,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3731,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1124.2034498834773,0.0,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3921,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_96d81ed9,encouraged_division_of_labor_v2,8340ada993e2efe9,1287.1500641191778,162.9466142357005,0,0.0,0.0,1.0,0.2,"(5, 2)",66f4390df2bca2eee3129f28,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
