tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
567,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,177.15171682550078,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
732,plate,put down,Counter_23,Counter,23,put down plate on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,238.20807752546028,61.0563606999595,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
868,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,276.74144364453133,38.53336611907105,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1219,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,439.9045945936282,163.16315094909686,0.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1312,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,439.9045945936282,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1374,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,455.9045945936273,15.99999999999909,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1400,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,455.9045945936273,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1665,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,571.0811866054133,115.17659201178606,2.0,1.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1845,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,625.6145527244819,54.533366119068546,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1970,plate,put down,Counter_22,Counter,22,put down plate on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,680.1496740674067,54.53512134292487,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2103,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,734.6847954103346,54.53512134292782,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2248,plate,put down,Counter_23,Counter,23,put down plate on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,795.7411561102931,61.05636069995853,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2403,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,856.7975168102515,61.05636069995842,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2557,plate,put down,Counter_24,Counter,24,put down plate on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,924.6797678041551,67.88225099390354,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2702,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,979.2131339232236,54.533366119068546,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3092,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1142.3762848723204,163.1631509490968,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3185,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1142.3762848723204,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3215,plate,put down,Counter_22,Counter,22,put down plate on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1142.3762848723204,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3235,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1142.3762848723204,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3257,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1142.3762848723204,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3737,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1294.6964937678129,152.32020889549244,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3843,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1333.2316151107407,38.53512134292782,4.0,1.0,2.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
4006,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1379.024785496859,45.79317038611839,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
4069,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1401.652202494832,22.627416997972887,5.0,0.0,2.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
4168,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_920067f0,encouraged_division_of_labor_v2,840393e899a2ae9b,1440.18732383776,38.53512134292805,5.0,0.0,2.0,0.4,1.0,"(1, 2)",6150a7aff22eb4723de2341a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
