tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
240,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
428,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,169.5740312382614,146.9466142402919,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
790,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,329.64408050548656,160.07004926722516,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
970,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,406.6463420932688,77.00226158778224,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1005,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,406.6463420932688,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1121,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,514.2904991618556,107.64415706858676,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1132,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,514.2904991618556,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1198,plate,put down,Counter_24,Counter,24,put down plate on counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,514.2904991618556,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1429,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,530.290499161855,15.999999999999432,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1492,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,546.2904991618543,15.999999999999318,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1577,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,546.2904991618543,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1765,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,645.1271321527536,98.83663299089926,1.0,1.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
1882,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,693.1271321527515,47.999999999997954,1.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2111,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,846.2751993305512,153.1480671777997,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2829,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,998.4433864404202,152.168187109869,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
2965,plate,put down,Counter_25,Counter,25,put down plate on counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1082.0730552846487,83.62966884422849,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3081,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1158.7625291355544,76.68947385090564,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3163,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1190.762529135553,31.999999999998636,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3199,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1190.762529135553,0.0,2.0,0.0,1.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3398,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1274.3839170579656,83.62138792241262,4.0,1.0,2.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3511,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1322.3839170579643,47.999999999998636,4.0,0.0,2.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
3739,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_3df65e36,encouraged_division_of_labor_v2,9e4fedc258830000,1475.531984235769,153.1480671778047,4.0,0.0,2.0,1.0,0.2,"(5, 2)",66d1c216f7c6746d8edc3acd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints"
